groupe_vehicule,checkpoint,date,lieu_depart,lieu_arrive,nom_vehicule,duree
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 300 AO-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 307 AO-MERCEDES 1841-PSL,00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 313 AS - SOMAFILS,00:49:28
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 331 AR-MERCEDES 1841-PSL,03:56:45
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 480 AQ-MERCEDES 1941-CIMENCAM(PSL),00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 481 AQ-MERCEDES 1841-PSL,00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 482 AQ-ACTROS 1836-MEDLOG,00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 682 AP-MERCEDES 1844-CIMENCAM (PSL),00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 685 AP-ACTROS 1844-CIMENCAM(PSL),00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 703 AQ-MERCEDES 1941-PSL,00:51:24
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 704 AQ-MERCEDES 1941-PSL,05:14:22
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 710 AQ-ACTROS 1941-PSL(CIMENCAM),05:09:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 816 AS-MERCEDES 3344-PSL,00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 877 AQ-MERCEDES 1941-PSL,01:38:33
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 879 AQ -MERCEDES 1844-PSL,00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 909 AR-ACTROS 1941-PSL,04:07:57
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 910 AR-ACTROS 1846-PSL,00:00:00
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 913 AR-ACTROS 1941-PSL,04:57:54
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 940 AQ-MERCEDES ACTROS-PSL,01:33:42
PSL,2023-07-18,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 055 AR-MERCEDES 1941-PSL,04:40:32
