date;vehicule;immatriculation;checkpoint;date_depart;date_arrivee;duree
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;101411 LUCIE DISTRIBUTION SARL;13:20:16;13:29:37;00:09:21
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;DOUALA;13:29:37;18:48:36;05:18:59
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;105486_SOREPCO YASSA;13:30:36;13:31:37;00:01:01
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;105500_QUIFEROU YASSA;13:32:37;13:37:15;00:04:38
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;105500_QUIFEROU YASSA;18:37:02;18:47:30;00:10:28
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;105486_SOREPCO YASSA;18:48:00;18:48:21;00:00:21
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;101411 LUCIE DISTRIBUTION SARL;18:48:27;18:49:18;00:00:51
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;EDEA;20:00:44;20:17:21;00:16:37
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;EDEA N;20:01:53;20:17:21;00:15:28
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;103244_CHEC PROJETS KRIBI lot 2;22:12:54;22:13:09;00:00:15
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;101760_BATI-SERVICE;23:47:20;23:47:47;00:00:27
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;105706_COLOR CERAMICA KRIBI;23:47:20;23:47:47;00:00:27
22/07/2023;LTTR 055 AR-MERCEDES 1941-PSL;LTTR055AR;105705_BATI SERVICE KRIBI;23:47:33;23:47:47;00:00:14
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;YAOUNDE;22:46:22;14:50:58;16:04:36
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;101769_EGESCO;14:56:15;14:56:39;00:00:24
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;TOTAL NOMAYOS;15:02:24;15:04:10;00:01:46
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;Mbankomo;15:05:22;15:09:11;00:03:49
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;103276_CHINA FIRST HIGHWAY (CFHECC) P.E.C. PK 15;15:15:57;15:17:14;00:01:17
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;103276_CHINA FIRST HIGHWAY (CFHECC) P.E.C. PK 16;15:15:57;15:17:14;00:01:17
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;Boumnyebel;16:31:45;16:34:40;00:02:55
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;Pouma;17:09:32;17:11:56;00:02:24
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;EDEA N;17:54:45;18:02:53;00:08:08
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;EDEA;17:57:09;18:02:53;00:05:44
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;103244_CHEC PROJETS KRIBI lot 2;20:14:34;20:14:53;00:00:19
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;101760_BATI-SERVICE;21:46:59;21:47:11;00:00:12
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;105706_COLOR CERAMICA KRIBI;21:46:59;21:47:11;00:00:12
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;105705_BATI SERVICE KRIBI;21:46:59;21:47:11;00:00:12
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;105901_CIMPOR KRIBI;21:46:59;21:47:05;00:00:06
22/07/2023;LTTR 056 AS MERCEDES (PSL);LTTR056AS;103244_CHEC PROJETS KRIBI lot 2;22:15:09;22:15:20;00:00:11
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;EDEA N;22:56:29;06:39:07;07:42:38
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;Pouma;07:34:07;07:36:07;00:02:00
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;Boumnyebel;08:27:07;08:29:33;00:02:26
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;103276_CHINA FIRST HIGHWAY (CFHECC) P.E.C. PK 16;10:20:08;10:21:51;00:01:43
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;103276_CHINA FIRST HIGHWAY (CFHECC) P.E.C. PK 15;10:20:08;10:21:51;00:01:43
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;Mbankomo;10:30:08;10:33:06;00:02:58
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;TOTAL NOMAYOS;10:35:08;10:36:08;00:01:00
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;101769_EGESCO;10:41:08;10:43:50;00:02:42
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;100003_USINE DE NOMAYOS;10:55:08;19:36:07;08:40:59
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;101769_EGESCO;19:47:00;19:48:07;00:01:07
22/07/2023;LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL);LTTR056AR;YAOUNDE;19:54:00;06:31:28;10:37:28
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;YAOUNDE;23:48:15;10:30:36;10:42:21
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;TOTAL NOMAYOS;10:58:36;10:59:36;00:01:00
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;Mbankomo;11:04:14;11:16:56;00:12:42
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;103276_CHINA FIRST HIGHWAY (CFHECC) P.E.C. PK 15;11:25:06;11:26:06;00:01:00
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;103276_CHINA FIRST HIGHWAY (CFHECC) P.E.C. PK 16;11:25:06;11:26:06;00:01:00
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;Boumnyebel;12:39:31;12:49:44;00:10:13
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;Pouma;13:33:31;13:35:37;00:02:06
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;EDEA N;14:21:03;14:31:28;00:10:25
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;EDEA;14:23:25;14:30:56;00:07:31
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;105705_BATI SERVICE KRIBI;17:05:38;17:06:02;00:00:24
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;101760_BATI-SERVICE;17:05:38;17:06:02;00:00:24
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;105706_COLOR CERAMICA KRIBI;17:05:38;17:06:02;00:00:24
22/07/2023;LTTR 057 AR - MERCEDES ACTROS- PSL;LTTR057AR;105706_COLOR CERAMICA KRIBI;18:25:39;18:26:02;00:00:23
